Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetSemMarcador,0.82051,0.7573233333333333,-0.06318666666666661,-1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetOriginal,0.82051,0.8613566666666665,0.04084666666666659,0.8888888888888888,0.008658008658008658,0.008658008658008658,6,6,0.05194805194805195,0.05194805194805195,False,False
Vgg_AUG_CV_DatasetSegmentadoUnet,0.82051,0.78743,-0.03308,-0.6666666666666666,0.06493506493506493,0.045454545454545456,6,6,0.3246753246753247,0.2272727272727273,False,False
Vgg_AUG_CV_DatasetSegYolo,0.82051,0.79899,-0.021519999999999984,-0.5555555555555556,0.13203463203463203,0.2619047619047619,6,6,0.5281385281385281,0.935064935064935,False,False
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.82051,0.8073433333333334,-0.013166666666666549,-0.2777777777777778,0.48484848484848486,0.37012987012987014,6,6,1.0,0.935064935064935,False,False
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.82051,0.7999666666666666,-0.020543333333333358,-0.3333333333333333,0.3939393939393939,0.23376623376623376,6,6,1.0,0.935064935064935,False,False
Vgg_AUG_CV_DatasetTagFixedTam,0.82051,0.8203999999999999,-0.0001100000000000545,0.0,1.0,0.9891774891774892,6,6,1.0,0.9891774891774892,False,False
