Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetOriginal,0.7999666666666666,0.8613566666666665,0.061389999999999945,1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSemMarcador,0.7999666666666666,0.7573233333333333,-0.042643333333333255,-0.6666666666666666,0.06493506493506493,0.030303030303030304,6,6,0.3896103896103896,0.18181818181818182,False,False
Vgg_AUG_CV_DatasetTagFixedTam,0.7999666666666666,0.8203999999999999,0.020433333333333303,0.4444444444444444,0.24025974025974026,0.17965367965367965,6,6,1.0,0.8982683982683982,False,False
Vgg_AUG_CV_DatasetSegYolo2classes,0.7999666666666666,0.82051,0.020543333333333358,0.3333333333333333,0.3939393939393939,0.23376623376623376,6,6,1.0,0.935064935064935,False,False
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.7999666666666666,0.8073433333333334,0.007376666666666809,0.0,1.0,0.6601731601731602,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetSegYolo,0.7999666666666666,0.79899,-0.0009766666666666257,-0.16666666666666666,0.6991341991341992,0.9632034632034632,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetSegmentadoUnet,0.7999666666666666,0.78743,-0.01253666666666664,-0.3888888888888889,0.30952380952380953,0.4588744588744589,6,6,1.0,1.0,False,False
