Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetOriginal,0.79899,0.8613566666666665,0.06236666666666657,0.7777777777777778,0.025974025974025976,0.010822510822510822,6,6,0.18181818181818182,0.07575757575757576,False,False
Vgg_AUG_CV_DatasetSemMarcador,0.79899,0.7573233333333333,-0.04166666666666663,-0.6666666666666666,0.06493506493506493,0.03896103896103896,6,6,0.3896103896103896,0.23376623376623376,False,False
Vgg_AUG_CV_DatasetTagFixedTam,0.79899,0.8203999999999999,0.02140999999999993,0.6666666666666666,0.06493506493506493,0.21645021645021645,6,6,0.3896103896103896,1.0,False,False
Vgg_AUG_CV_DatasetSegYolo2classes,0.79899,0.82051,0.021519999999999984,0.5555555555555556,0.13203463203463203,0.2619047619047619,6,6,0.5281385281385281,1.0,False,False
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.79899,0.8073433333333334,0.008353333333333435,0.3333333333333333,0.3939393939393939,0.6515151515151515,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.79899,0.7999666666666666,0.0009766666666666257,0.16666666666666666,0.6991341991341992,0.9632034632034632,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetSegmentadoUnet,0.79899,0.78743,-0.011560000000000015,-0.1111111111111111,0.8181818181818182,0.5865800865800865,6,6,1.0,1.0,False,False
