Arquivo,Acc_mean,Acc_std,Prec_mean,Prec_std,Rec_mean,Rec_std,F1_mean,F1_std
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetTagFixedTam_t1_Frontal.txt,0.86518,0.04391871582822066,0.84906,0.11556121494688433,0.8229599999999999,0.10840633929803183,0.8241200000000001,0.05620428453418832
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetTagFixedTam_t2_Frontal.txt,0.85218,0.02899257836067706,0.80244,0.06296823326090706,0.8233599999999999,0.03062891444370824,0.81158,0.03915719091048282
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetOriginal_t0_Frontal.txt,0.8999,0.02454400130378095,0.85992,0.06362733374894787,0.89276,0.07082588792242565,0.87196,0.03272256713645799
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegmentadoUnet_t1_Frontal.txt,0.8481799999999999,0.03691104983605858,0.82398,0.040063669327708856,0.77434,0.06647232807717811,0.79766,0.05033482293601519
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetOriginal_t3_Frontal.txt,0.8917400000000001,0.045532037072812816,0.8913399999999999,0.10717763945898416,0.84798,0.16729987925877293,0.8485799999999999,0.08707002698977419
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSemMarcador_t2_Frontal.txt,0.7667200000000001,0.08252275807315212,0.68282,0.1191895028935015,0.7365600000000001,0.1024563438738666,0.70818,0.11051597893517481
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t3_Frontal.txt,0.82388,0.03497938821649113,0.7863,0.09928929448837874,0.775,0.08013089291902345,0.7727799999999999,0.04416547973247888
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetTagFixedTam_t4_Frontal.txt,0.8831800000000001,0.04106099852658237,0.87188,0.048941655059877145,0.80718,0.12325668176614198,0.8342,0.07757295920615635
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegYolo_t0_Frontal.txt,0.8358800000000001,0.02715300351710652,0.7605,0.05650585810338606,0.8558,0.08129110652463774,0.8009000000000001,0.03380242594844341
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetOriginal_t1_Frontal.txt,0.90832,0.018891627775287124,0.8885200000000001,0.07075499699667863,0.8897600000000001,0.09539846120352256,0.88186,0.02569113465769858
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegmentadoUnet_t4_Frontal.txt,0.8436200000000001,0.02483895327907357,0.80526,0.08606803355485708,0.7947400000000001,0.07370475154289578,0.79422,0.04208260448213727
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t4_Frontal.txt,0.8684000000000001,0.04107344641005916,0.86396,0.04203815409839019,0.7887,0.09558736318154193,0.82112,0.05988944481292177
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegmentadoUnet_t2_Frontal.txt,0.8546400000000001,0.05843028666710442,0.8371000000000001,0.05296425209516322,0.77492,0.1453335666664794,0.7981999999999999,0.0852451523548407
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t5_Frontal.txt,0.8601599999999999,0.029337798145055154,0.82552,0.06098181368244142,0.81932,0.061714322486761536,0.81928,0.032211327200225695
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegYolo2classes_t0_Frontal.txt,0.8484400000000001,0.02252985574742989,0.79056,0.04048103753611067,0.8268599999999999,0.08988465052499231,0.8048400000000001,0.038067235255531746
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegmentadoUnet_t3_Frontal.txt,0.8003599999999998,0.011086857083953055,0.7626800000000001,0.09091080023847552,0.74346,0.11258343750303595,0.73962,0.02089606661551405
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSemMarcador_t0_Frontal.txt,0.8283200000000001,0.024879662377130428,0.8020800000000001,0.03433321423927565,0.7461800000000001,0.08313443089358344,0.76928,0.03906801249103927
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegYolo2classes_t1_Frontal.txt,0.8401799999999999,0.07326342607331437,0.7677400000000001,0.13017089690095865,0.86704,0.027792848000879673,0.80948,0.07865576647646376
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegYolo2classes_t4_Frontal.txt,0.88404,0.031403732262264644,0.8599600000000001,0.04529064362536703,0.8474600000000001,0.11837536230145192,0.8465,0.048505793468409525
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegYolo2classes_t5_Frontal.txt,0.88376,0.03910220454143221,0.86198,0.0899784729810414,0.84418,0.0772302117050057,0.8484,0.05329964352601245
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegYolo_t4_Frontal.txt,0.8484999999999999,0.03689785901647954,0.82842,0.09244882692603515,0.79246,0.07441431582699662,0.8036999999999999,0.03613845597144404
ResultadosTreinamento30Modelos/Vgg16/Vgg_AUG_CV_DatasetSegYolo_t3_Frontal.txt,0.82012,0.04264600332973772,0.7761,0.08465241874866897,0.7623800000000001,0.1262276736694454,0.75968,0.07459534569931292
