Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetOriginal,0.8073433333333334,0.8613566666666665,0.054013333333333136,0.9444444444444444,0.004329004329004329,0.004329004329004329,6,6,0.030303030303030304,0.030303030303030304,True,True
Vgg_AUG_CV_DatasetSemMarcador,0.8073433333333334,0.7573233333333333,-0.050020000000000064,-0.9444444444444444,0.004329004329004329,0.004329004329004329,6,6,0.030303030303030304,0.030303030303030304,True,True
Vgg_AUG_CV_DatasetSegYolo2classes,0.8073433333333334,0.82051,0.013166666666666549,0.2777777777777778,0.48484848484848486,0.37012987012987014,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetTagFixedTam,0.8073433333333334,0.8203999999999999,0.013056666666666494,0.4444444444444444,0.24025974025974026,0.23593073593073594,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.8073433333333334,0.7999666666666666,-0.007376666666666809,0.0,1.0,0.6601731601731602,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetSegYolo,0.8073433333333334,0.79899,-0.008353333333333435,-0.3333333333333333,0.3939393939393939,0.6515151515151515,6,6,1.0,1.0,False,False
Vgg_AUG_CV_DatasetSegmentadoUnet,0.8073433333333334,0.78743,-0.01991333333333345,-0.3333333333333333,0.3939393939393939,0.21645021645021645,6,6,1.0,1.0,False,False
