Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetOriginal,0.7573233333333333,0.8613566666666665,0.1040333333333332,1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSegYolo2classes,0.7573233333333333,0.82051,0.06318666666666661,1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetTagFixedTam,0.7573233333333333,0.8203999999999999,0.06307666666666656,1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.7573233333333333,0.8073433333333334,0.050020000000000064,0.9444444444444444,0.004329004329004329,0.004329004329004329,6,6,0.017316017316017316,0.017316017316017316,True,True
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.7573233333333333,0.7999666666666666,0.042643333333333255,0.6666666666666666,0.06493506493506493,0.030303030303030304,6,6,0.1948051948051948,0.09090909090909091,False,False
Vgg_AUG_CV_DatasetSegYolo,0.7573233333333333,0.79899,0.04166666666666663,0.6666666666666666,0.06493506493506493,0.03896103896103896,6,6,0.1948051948051948,0.09090909090909091,False,False
Vgg_AUG_CV_DatasetSegmentadoUnet,0.7573233333333333,0.78743,0.030106666666666615,0.6666666666666666,0.06493506493506493,0.08008658008658008,6,6,0.1948051948051948,0.09090909090909091,False,False
