Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetOriginal,0.78743,0.8613566666666665,0.07392666666666659,1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetTagFixedTam,0.78743,0.8203999999999999,0.032969999999999944,0.8888888888888888,0.008658008658008658,0.006493506493506494,6,6,0.05194805194805195,0.03896103896103896,False,True
Vgg_AUG_CV_DatasetSegYolo2classes,0.78743,0.82051,0.03308,0.6666666666666666,0.06493506493506493,0.045454545454545456,6,6,0.3246753246753247,0.2272727272727273,False,False
Vgg_AUG_CV_DatasetSemMarcador,0.78743,0.7573233333333333,-0.030106666666666615,-0.6666666666666666,0.06493506493506493,0.08008658008658008,6,6,0.3246753246753247,0.3203463203463203,False,False
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.78743,0.8073433333333334,0.01991333333333345,0.3333333333333333,0.3939393939393939,0.21645021645021645,6,6,0.9285714285714286,0.6493506493506493,False,False
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.78743,0.7999666666666666,0.01253666666666664,0.3888888888888889,0.30952380952380953,0.4588744588744589,6,6,0.9285714285714286,0.9177489177489178,False,False
Vgg_AUG_CV_DatasetSegYolo,0.78743,0.79899,0.011560000000000015,0.1111111111111111,0.8181818181818182,0.5865800865800865,6,6,0.9285714285714286,0.9177489177489178,False,False
