rel_path,rows,cols,mean_abs_diff,mean_signed_diff
Frontal/sick/355_img_Static-Frontal_2019-03-27.txt,480,640,0.044798,0.043472
Frontal/sick/337_img_Static-Frontal_2020-01-20.txt,480,640,0.030150,0.029367
Frontal/sick/269_img_Static-Frontal_2015-01-23.txt,480,640,0.043319,0.042307
Frontal/sick/365_img_Static-Frontal_2020-01-22.txt,480,640,0.012973,0.012304
Frontal/sick/241_img_Static-Frontal_2014-07-18.txt,480,640,0.068120,0.067220
Frontal/sick/270_img_Static-Frontal_2015-01-30.txt,480,640,0.041917,0.039975
Frontal/sick/271_img_Static-Frontal_2015-01-27.txt,480,640,0.045994,0.044056
Frontal/sick/337_img_Static-Frontal_2019-07-24.txt,480,640,0.055428,0.053217
Frontal/sick/402_img_Static-Frontal_2018-05-25.txt,480,640,0.043485,0.041367
Frontal/sick/384_img_Static-Frontal_2020-02-26.txt,480,640,0.028933,0.028282
Frontal/sick/384_img_Static-Frontal_2019-08-28.txt,480,640,0.045680,0.044034
Frontal/sick/425_img_Static-Frontal_2020-02-19.txt,480,640,0.050290,0.048519
Frontal/sick/368_img_Static-Frontal_2020-10-14.txt,480,640,0.052857,0.048567
Frontal/sick/409_img_Static-Frontal_2019-02-27.txt,480,640,0.032739,0.030557
Frontal/sick/318_img_Static-Frontal_2019-08-28.txt,480,640,0.037094,0.035423
Frontal/sick/366_img_Static-Frontal_2019-11-13.txt,480,640,0.032782,0.026752
Frontal/sick/274_img_Static-Frontal_2015-03-13.txt,480,640,0.037270,0.035980
Frontal/sick/267_img_Static-Frontal_2015-01-16.txt,480,640,0.056150,0.054470
Frontal/sick/259_img_Static-Frontal_2014-11-07.txt,480,640,0.053652,0.052432
Frontal/sick/397_img_Static-Frontal_2019-02-27.txt,480,640,0.034701,0.032588
Frontal/sick/365_img_Static-Frontal_2020-10-14.txt,480,640,0.026685,0.023583
Frontal/sick/210_img_Static-Frontal_2013-11-08.txt,480,640,0.053122,0.052153
Frontal/sick/330_img_Static-Frontal_2020-02-26.txt,480,640,0.019617,0.015703
Frontal/sick/371_img_Static-Frontal_2020-02-19.txt,480,640,0.052099,0.048510
Frontal/sick/410_img_Static-Frontal_2019-01-30.txt,480,640,0.034131,0.032809
Frontal/sick/338_img_Static-Frontal_2020-01-22.txt,480,640,0.025806,0.025015
Frontal/sick/202_img_Static-Frontal_2013-10-11.txt,480,640,0.008715,0.008126
Frontal/sick/369_img_Static-Frontal_2020-10-14.txt,480,640,0.026787,0.022329
Frontal/sick/337_img_Static-Frontal_2019-11-13.txt,480,640,0.056384,0.055415
Frontal/sick/402_img_Static-Frontal_2019-01-30.txt,480,640,0.040669,0.039892
Frontal/sick/366_img_Static-Frontal_2020-01-22.txt,480,640,0.014501,0.013804
Frontal/sick/283_img_Static-Frontal_2015-05-22.txt,480,640,0.045752,0.045026
Frontal/sick/203_img_Static-Frontal_2013-10-11.txt,480,640,0.024501,0.021405
Frontal/sick/371_img_Static-Frontal_2020-10-27.txt,480,640,0.053867,0.052247
Frontal/sick/198_img_Static-Frontal_2014-11-11.txt,480,640,0.038421,0.036028
Frontal/sick/389_img_Static-Frontal_2020-01-22.txt,480,640,0.035823,0.032074
Frontal/sick/281_img_Static-Frontal_2015-05-22.txt,480,640,0.054522,0.053296
Frontal/sick/319_img_Static-Frontal_2019-10-23.txt,480,640,0.038688,0.037188
Frontal/sick/347_img_Static-Frontal_2019-11-13.txt,480,640,0.054614,0.052778
Frontal/sick/390_img_Static-Frontal_2019-08-28.txt,480,640,0.033666,0.031944
Frontal/sick/422_img_Static-Frontal_2019-07-24.txt,480,640,0.052333,0.050540
__OVERALL__,,,0.039498,0.037494
