Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetOriginal,0.8203999999999999,0.8613566666666665,0.04095666666666664,1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSemMarcador,0.8203999999999999,0.7573233333333333,-0.06307666666666656,-1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSegmentadoUnet,0.8203999999999999,0.78743,-0.032969999999999944,-0.8888888888888888,0.008658008658008658,0.006493506493506494,6,6,0.04329004329004329,0.03246753246753247,True,True
Vgg_AUG_CV_DatasetSegYolo,0.8203999999999999,0.79899,-0.02140999999999993,-0.6666666666666666,0.06493506493506493,0.21645021645021645,6,6,0.2597402597402597,0.7186147186147186,False,False
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.8203999999999999,0.8073433333333334,-0.013056666666666494,-0.4444444444444444,0.24025974025974026,0.23593073593073594,6,6,0.7207792207792207,0.7186147186147186,False,False
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.8203999999999999,0.7999666666666666,-0.020433333333333303,-0.4444444444444444,0.24025974025974026,0.17965367965367965,6,6,0.7207792207792207,0.7186147186147186,False,False
Vgg_AUG_CV_DatasetSegYolo2classes,0.8203999999999999,0.82051,0.0001100000000000545,0.0,1.0,0.9891774891774892,6,6,1.0,0.9891774891774892,False,False
