Configuração,F1_baseline_mean,F1_model_mean,Delta_F1_mean,Cliffs_delta,MWU_p,Perm_p,N_baseline,N_model,MWU_p_holm,Perm_p_holm,MWU_sig,Perm_sig
Vgg_AUG_CV_DatasetTagFixedTam,0.8613566666666665,0.8203999999999999,-0.04095666666666664,-1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.8613566666666665,0.8073433333333334,-0.054013333333333136,-0.9444444444444444,0.004329004329004329,0.004329004329004329,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.8613566666666665,0.7999666666666666,-0.061389999999999945,-1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSegmentadoUnet,0.8613566666666665,0.78743,-0.07392666666666659,-1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSemMarcador,0.8613566666666665,0.7573233333333333,-0.1040333333333332,-1.0,0.0021645021645021645,0.0021645021645021645,6,6,0.015151515151515152,0.015151515151515152,True,True
Vgg_AUG_CV_DatasetSegYolo2classes,0.8613566666666665,0.82051,-0.04084666666666659,-0.8888888888888888,0.008658008658008658,0.008658008658008658,6,6,0.017316017316017316,0.017316017316017316,True,True
Vgg_AUG_CV_DatasetSegYolo,0.8613566666666665,0.79899,-0.06236666666666657,-0.7777777777777778,0.025974025974025976,0.010822510822510822,6,6,0.025974025974025976,0.017316017316017316,True,True
