Configuração,Acc_mean,Acc_std,Prec_mean,Prec_std,Rec_mean,Rec_std,F1_mean,F1_std,N_folds
Vgg_AUG_CV_DatasetSemMarcador,0.8155966666666665,0.053733828471664115,0.7813333333333335,0.1055903099510346,0.7503033333333333,0.11290987108702627,0.7556133333333332,0.07693200778754071,30
Vgg_AUG_CV_DatasetSegFixedTagTemp,0.8545133333333332,0.04473000285664595,0.8187800000000002,0.07491656425651139,0.8116266666666666,0.12345207689175947,0.8073433333333333,0.07281636575813313,30
Vgg_AUG_CV_DatasetSegYolo2classes,0.8593200000000001,0.054487872656827654,0.8175533333333334,0.10224840580120989,0.8347766666666666,0.08737327464518096,0.8205100000000001,0.06761555220509553,30
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0.8493866666666666,0.0437833814236508,0.8195566666666669,0.07612643291846065,0.7889900000000001,0.09560104026630672,0.7999666666666666,0.06858590396154463,30
Vgg_AUG_CV_DatasetTagFixedTam,0.8621433333333333,0.051946245827350766,0.8284533333333334,0.08507307734465053,0.82252,0.10238402349325147,0.8204,0.07031099961362137,30
Vgg_AUG_CV_DatasetSegYolo,0.8435766666666663,0.04966404925989108,0.7975499999999998,0.07929922130765218,0.8123166666666667,0.10794590646347929,0.79899,0.06774681960554804,30
Vgg_AUG_CV_DatasetSegmentadoUnet,0.8404066666666667,0.04048191310806456,0.81164,0.06994228859090425,0.7748999999999999,0.09925233834357088,0.78743,0.05854301637827238,30
Vgg_AUG_CV_DatasetOriginal,0.8952433333333334,0.033893673778777986,0.8634733333333334,0.0764661360051334,0.8776533333333334,0.10566123456068878,0.8625899999999999,0.053181740914214785,30
