epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,69.4749,0.68147,0.97101,0.70038,1.0289,0.99035,1,0.995,0.89591,0.99035,1,0.995,0.87955,0.55621,0.95586,0.51795,0.66066,0.00106665,0.00106665,0.00106665
33,71.4505,0.67838,0.76978,0.75778,1.01477,0.99235,1,0.995,0.8846,0.99235,1,0.995,0.84594,0.58133,0.95375,0.46218,0.65906,0.00109408,0.00109408,0.00109408
34,75.3565,0.651,0.84602,0.76467,0.97769,0.99235,1,0.995,0.8846,0.99235,1,0.995,0.84594,0.58133,0.95375,0.46218,0.65906,0.00112111,0.00112111,0.00112111
35,77.3292,0.57845,0.8149,0.65898,0.97826,0.99245,1,0.995,0.84337,0.99245,1,0.995,0.80773,0.60998,1.13025,0.47402,0.66948,0.00114775,0.00114775,0.00114775
36,79.2936,0.63252,0.9164,0.66909,1.00729,0.99244,1,0.995,0.84607,0.99244,1,0.995,0.81843,0.64625,1.21583,0.53887,0.69175,0.00117399,0.00117399,0.00117399
37,81.2473,0.63797,0.73496,0.74043,0.99928,0.99244,1,0.995,0.84607,0.99244,1,0.995,0.81843,0.64625,1.21583,0.53887,0.69175,0.00119983,0.00119983,0.00119983
38,83.2223,0.73174,0.99604,0.70933,1.04423,0.99257,1,0.995,0.8626,0.99257,1,0.995,0.81451,0.72386,1.12158,0.5468,0.74179,0.00122528,0.00122528,0.00122528
39,85.1923,0.81182,1.0663,0.69314,1.10169,0.99264,1,0.995,0.88783,0.99264,1,0.995,0.84387,0.59494,1.25077,0.57011,0.70937,0.00125033,0.00125033,0.00125033
40,87.1372,0.66956,1.01432,0.6646,1.03908,0.99264,1,0.995,0.88783,0.99264,1,0.995,0.84387,0.59494,1.25077,0.57011,0.70937,0.00127498,0.00127498,0.00127498
41,89.125,0.65895,0.81531,0.65261,1.05597,0.99258,1,0.995,0.87689,0.99258,1,0.995,0.87125,0.579,1.06617,0.67462,0.71826,0.00129924,0.00129924,0.00129924
42,91.1033,0.69978,0.89003,0.68822,1.03419,0.99271,1,0.995,0.84386,0.99271,1,0.995,0.8955,0.60712,0.91872,0.90546,0.72231,0.0013231,0.0013231,0.0013231
43,93.0486,0.72174,1.01086,0.69669,1.05083,0.99271,1,0.995,0.84386,0.99271,1,0.995,0.8955,0.60712,0.91872,0.90546,0.72231,0.00134657,0.00134657,0.00134657
44,95.0249,0.7478,0.84724,0.63276,1.09988,0.99262,1,0.995,0.84936,0.99262,1,0.995,0.91209,0.61526,1.1195,0.73707,0.71659,0.00136964,0.00136964,0.00136964
45,96.9683,0.6796,0.8833,0.63339,1.05536,0.99262,1,0.995,0.84936,0.99262,1,0.995,0.91209,0.61526,1.1195,0.73707,0.71659,0.00139232,0.00139232,0.00139232
46,98.958,0.67753,0.7512,0.63974,1.02505,0.99257,1,0.995,0.86625,0.99257,1,0.995,0.87125,0.5675,1.24552,0.90735,0.65735,0.0014146,0.0014146,0.0014146
47,100.906,0.59957,0.81777,0.62028,0.98475,0.99257,1,0.995,0.86625,0.99257,1,0.995,0.87125,0.5675,1.24552,0.90735,0.65735,0.00143648,0.00143648,0.00143648
48,102.885,0.7301,0.8558,0.64716,1.00498,0.99256,1,0.995,0.90809,0.99256,1,0.995,0.91798,0.61251,1.06195,0.88876,0.66171,0.00145797,0.00145797,0.00145797
49,104.85,0.68806,0.83865,0.6312,1.03496,0.99256,1,0.995,0.90809,0.99256,1,0.995,0.91798,0.61251,1.06195,0.88876,0.66171,0.00147906,0.00147906,0.00147906
50,109.611,0.62949,0.76797,0.61151,1.00444,0.9926,1,0.995,0.9005,0.9926,1,0.995,0.92347,0.65973,0.94081,0.72542,0.67976,0.00149975,0.00149975,0.00149975
51,110.722,0.68102,0.80168,0.62222,1.02936,0.9926,1,0.995,0.9005,0.9926,1,0.995,0.92347,0.65973,0.94081,0.72542,0.67976,0.001505,0.001505,0.001505
52,114.649,0.70566,0.77892,0.63113,1.02375,0.99258,1,0.995,0.87167,0.99258,1,0.995,0.90383,0.55902,0.89557,0.65843,0.68374,0.0014951,0.0014951,0.0014951
53,116.627,0.68125,0.83282,0.63022,1.03574,0.99258,1,0.995,0.87167,0.99258,1,0.995,0.90383,0.55902,0.89557,0.65843,0.68374,0.0014852,0.0014852,0.0014852
54,118.585,0.62012,0.79047,0.59824,0.95255,0.99239,1,0.995,0.89109,0.99239,1,0.995,0.87392,0.54365,0.88253,0.63066,0.67752,0.0014753,0.0014753,0.0014753
55,120.541,0.6471,0.76157,0.61763,0.97584,0.99239,1,0.995,0.89109,0.99239,1,0.995,0.87392,0.54365,0.88253,0.63066,0.67752,0.0014654,0.0014654,0.0014654
56,122.516,0.78682,1.04698,0.72962,1.08571,0.99234,1,0.995,0.87008,0.99234,1,0.995,0.88786,0.6118,0.6936,0.73722,0.69649,0.0014555,0.0014555,0.0014555
57,124.472,0.63476,0.82069,0.65509,1.01816,0.99234,1,0.995,0.87008,0.99234,1,0.995,0.88786,0.6118,0.6936,0.73722,0.69649,0.0014456,0.0014456,0.0014456
58,126.442,0.64442,0.82218,0.61943,1.01465,0.9923,1,0.995,0.85017,0.9923,1,0.995,0.8955,0.58221,0.62638,0.75855,0.6805,0.0014357,0.0014357,0.0014357
59,128.404,0.5199,0.72871,0.54426,0.94086,0.9923,1,0.995,0.85017,0.9923,1,0.995,0.8955,0.58221,0.62638,0.75855,0.6805,0.0014258,0.0014258,0.0014258
60,130.385,0.6981,0.90649,0.6492,0.98486,0.99138,1,0.995,0.89893,0.99138,1,0.995,0.8955,0.53802,0.73623,0.68058,0.66091,0.0014159,0.0014159,0.0014159
